trending_rank,name,symbol,price,market_cap,market_cap_rank,24h_change,timestamp
1,Ondo,ONDO,0.4032958598053386,1963732669,41,-2.4641956892730503,2026-07-23T21:07:00.417572
2,ADI,ADI,7.206521025460161,67593068,351,5.3344923591103575,2026-07-23T21:07:00.417581
3,Zama,ZAMA,0.05298537533427827,116544300,236,17.660167470992683,2026-07-23T21:07:00.417586
4,DeXe,DEXE,2.1354353017626044,206055519,265,-52.47261437653127,2026-07-23T21:07:00.417589
5,Hyperliquid,HYPE,58.00941801038902,12903517566,10,-2.1932629534257444,2026-07-23T21:07:00.417591
6,The Black Bull,ANSEM,0.17498526363576913,73051264,324,-3.652934096391353,2026-07-23T21:07:00.417594
7,Solana,SOL,76.09058233273704,44350440805,7,-2.147351192410897,2026-07-23T21:07:00.417596
8,Pump.fun,PUMP,0.0019288443124801742,769497606,78,0.9406960517896993,2026-07-23T21:07:00.417602
9,Chainlink,LINK,8.503955854257077,6362321306,18,-1.5419860961003906,2026-07-23T21:07:00.417605
10,Pons,PONS,0.03247082623351587,25729473,678,14.532643949134066,2026-07-23T21:07:00.417612
11,Akedo,AKE,0.002512590635789476,57279228,389,44.87627491507427,2026-07-23T21:07:00.417614
12,Aave,AAVE,96.16199193694426,1482693461,51,-2.0277428527546046,2026-07-23T21:07:00.417616
13,Cash Cat,CASHCAT,0.041544100546616405,41214077,493,-24.309552608394856,2026-07-23T21:07:00.417618
14,Jimothy The Raccoon,JIMOTHY,0.022359558351335983,22300530,775,-41.05726116523714,2026-07-23T21:07:00.417620
15,KAITO,KAITO,1.042509282552955,251552901,144,4.9399859366759955,2026-07-23T21:07:00.417622
